Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,088,799,32,3,0,0.57,32.2,
3,058,1100,73,3,0,1.84,109.6,
4,072,1333,78,3,0,3.19,208.8,
5,118,1380,53,3,30,4.61,276.6,fuel stop; tunnel +2000pts
6,077,501,24,3,0,5.06,297.6,
7,117,1380,10,3,0,5.29,309.1,
8,099,888,45,3,0,6.09,351.6,
9,083,396,13,3,0,6.36,362.3,
10,029,898,39,3,0,7.05,412.1,
11,116,767,24,3,0,7.49,435.6,
12,106,982,47,3,15,8.57,489.6,fuel stop
13,091,1450,82,3,0,10.00,610.3,
14,113,867,23,3,0,10.43,630.5,
15,Finish,0,62,0,0,11.47,718.9,FINISH
