Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,058,1100,63,3,0,1.10,70.1,
3,111,901,62,3,0,2.18,135.3,
4,027,631,45,3,0,2.98,187.2,
5,072,1333,15,3,0,3.28,205.8,
6,104,272,18,3,0,3.64,219.7,
7,118,1380,62,3,30,5.22,299.6,fuel stop; tunnel +2000pts
8,077,501,24,3,0,5.67,320.6,
9,042,999,26,3,0,6.16,345.1,
10,117,1380,25,3,0,6.62,369.1,
11,099,888,45,3,0,7.43,411.6,
12,106,982,52,3,15,8.59,487.4,fuel stop
13,043,1304,40,3,0,9.32,526.0,
14,050,800,103,3,0,11.08,667.9,
15,Finish,0,25,0,0,11.49,698.4,FINISH
