Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,058,1100,63,3,0,1.10,70.1,
3,111,901,62,3,0,2.18,135.3,
4,027,631,45,3,0,2.98,187.2,
5,104,272,5,3,0,3.11,190.7,
6,072,1333,18,3,0,3.47,204.6,
7,118,1380,53,3,15,4.64,272.3,fuel stop
8,117,1380,17,3,0,4.98,288.6,
9,077,501,10,3,0,5.20,300.0,
10,099,888,35,3,0,5.83,331.0,
11,029,898,33,3,0,6.43,371.6,
12,097,1018,38,3,0,7.11,413.5,
13,116,767,29,3,0,7.64,441.8,
14,021,814,76,3,15,9.21,516.1,fuel stop
15,091,1450,39,3,0,9.90,549.8,
16,114,503,21,3,0,10.30,569.9,
17,050,800,40,3,0,11.01,629.0,
18,Finish,0,25,0,0,11.42,659.5,FINISH
