Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,058,1100,63,3,0,1.10,70.1,
3,072,1333,78,3,0,2.45,169.3,
4,117,1380,64,3,0,3.57,230.3,
5,118,1380,17,3,30,4.40,246.4,fuel stop; tunnel +2000pts
6,042,999,41,3,0,5.13,285.9,
7,029,898,64,3,0,6.25,361.1,
8,097,1018,38,3,0,6.93,403.0,
9,116,767,29,3,0,7.46,431.3,
10,106,982,47,3,15,8.54,485.2,fuel stop
11,091,1450,82,3,0,9.96,605.9,
12,114,503,21,3,0,10.36,626.0,
13,050,800,40,3,0,11.07,685.1,
14,Finish,0,25,0,0,11.48,715.6,FINISH
