Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,088,799,32,3,0,0.57,32.2,
3,058,1100,73,3,0,1.84,109.6,
4,027,631,70,3,0,3.05,195.0,
5,072,1333,15,3,0,3.34,213.6,
6,118,1380,53,3,15,4.52,281.4,fuel stop
7,117,1380,17,3,0,4.85,297.6,
8,077,501,10,3,0,5.08,309.0,
9,099,888,35,3,0,5.71,340.0,
10,029,898,33,3,0,6.30,380.6,
11,011,300,22,3,0,6.72,403.3,
12,106,982,24,3,0,7.17,420.1,
13,043,1304,40,3,0,7.89,458.6,
14,091,1450,87,3,15,9.64,563.7,fuel stop
15,113,867,23,3,0,10.07,583.9,
16,050,800,50,3,0,10.96,649.5,
17,Finish,0,25,0,0,11.37,680.0,FINISH
