Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,058,1100,63,3,0,1.10,70.1,
3,072,1333,78,3,0,2.45,169.3,
4,027,631,15,3,0,2.75,187.9,
5,118,1380,57,3,15,4.01,265.5,fuel stop
6,042,999,41,3,0,4.74,305.0,
7,117,1380,25,3,0,5.21,329.0,
8,077,501,10,3,0,5.43,340.4,
9,099,888,35,3,0,6.06,371.4,
10,029,898,33,3,0,6.66,412.0,
11,097,1018,38,3,0,7.34,453.9,
12,116,767,29,3,15,8.12,482.2,fuel stop
13,075,477,54,3,0,9.07,533.6,
14,091,1450,33,3,0,9.67,570.0,
15,113,867,23,3,0,10.11,590.1,
16,050,800,50,3,0,10.99,655.7,
17,Finish,0,25,0,0,11.41,686.2,FINISH
