Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start E,0,0,0,0,0.00,0,START
2,016,572,17,3,0,0.34,18.6,
3,088,799,30,3,0,0.88,49.5,
4,058,1100,73,3,0,2.14,126.9,
5,027,631,70,3,0,3.35,212.3,
6,072,1333,15,3,0,3.65,230.9,
7,118,1380,53,3,15,4.83,298.7,fuel stop
8,117,1380,17,3,0,5.16,314.9,
9,077,501,10,3,0,5.38,326.3,
10,099,888,35,3,0,6.01,357.3,
11,083,396,13,3,0,6.28,368.1,
12,029,898,39,3,0,6.97,417.9,
13,097,1018,38,3,0,7.66,459.8,
14,116,767,29,3,15,8.44,488.1,fuel stop
15,091,1450,75,3,0,9.74,574.4,
16,113,867,23,3,0,10.18,594.5,
17,050,800,50,3,0,11.07,660.1,
18,Finish,0,25,0,0,11.48,690.6,FINISH
