Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,102,333,17,3,0,0.33,12.7,
3,058,1100,60,3,0,1.38,83.2,
4,111,901,62,3,0,2.46,148.5,
5,027,631,45,3,0,3.26,200.4,
6,072,1333,15,3,0,3.56,219.0,
7,118,1380,53,3,15,4.74,286.7,fuel stop
8,117,1380,17,3,0,5.07,302.9,
9,042,999,25,3,0,5.54,326.9,
10,077,501,26,3,0,6.03,351.5,
11,029,898,49,3,0,6.91,411.6,
12,106,982,32,3,0,7.49,456.8,
13,043,1304,40,3,15,8.46,495.3,fuel stop
14,091,1450,87,3,0,9.96,600.4,
15,114,503,21,3,0,10.36,620.5,
16,050,800,40,3,0,11.07,679.6,
17,Finish,0,25,0,0,11.48,710.1,FINISH
