Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start E,0,0,0,0,0.00,0,START
2,091,1450,60,3,0,1.05,71.2,
3,114,503,21,3,0,1.45,91.3,
4,075,477,24,3,0,1.90,119.4,
5,043,1304,68,3,0,3.09,194.8,
6,106,982,41,3,0,3.83,233.2,
7,118,1380,82,3,30,5.74,355.6,fuel stop; tunnel +2000pts
8,117,1380,17,3,0,6.07,371.8,
9,042,999,25,3,0,6.55,395.8,
10,077,501,26,3,0,7.04,420.3,
11,099,888,35,3,0,7.67,451.3,
12,029,898,33,3,15,8.52,491.9,fuel stop
13,097,1018,38,3,0,9.20,533.8,
14,116,767,29,3,0,9.73,562.1,
15,Finish,0,106,0,0,11.50,707.9,FINISH
