Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start E,0,0,0,0,0.00,0,START
2,016,572,17,3,0,0.34,18.6,
3,088,799,30,3,0,0.88,49.5,
4,058,1100,73,3,0,2.14,126.9,
5,072,1333,78,3,0,3.49,226.1,
6,027,631,15,3,15,4.04,244.8,fuel stop
7,104,272,5,3,0,4.17,248.2,
8,118,1380,62,3,15,5.50,328.1,tunnel +2000pts
9,117,1380,17,3,0,5.83,344.3,
10,077,501,10,3,0,6.06,355.7,
11,099,888,35,3,0,6.69,386.7,
12,011,300,42,3,0,7.44,440.1,
13,106,982,24,3,0,7.89,456.9,
14,091,1450,82,3,15,9.56,577.6,fuel stop
15,075,477,34,3,0,10.17,615.4,
16,050,800,50,3,0,11.05,688.5,
17,Finish,0,25,0,0,11.46,719.1,FINISH
