Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start E,0,0,0,0,0.00,0,START
2,091,1450,60,3,0,1.05,71.2,
3,113,867,23,3,0,1.49,91.3,
4,114,503,32,3,0,2.08,123.5,
5,043,1304,76,3,0,3.39,220.6,
6,106,982,41,3,15,4.38,259.0,fuel stop
7,118,1380,82,3,15,6.04,381.4,tunnel +2000pts
8,117,1380,17,3,0,6.37,397.6,
9,017,465,22,3,0,6.78,419.3,
10,077,501,30,3,0,7.34,451.7,
11,099,888,35,3,15,8.22,482.7,fuel stop
12,029,898,33,3,0,8.82,523.3,
13,116,767,24,3,0,9.26,546.7,
14,075,477,54,3,0,10.20,598.2,
15,050,800,50,3,0,11.08,671.3,
16,Finish,0,25,0,0,11.49,701.8,FINISH
