Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,031,940,37,3,0,0.67,38.9,
3,088,799,32,3,0,1.25,70.6,
4,058,1100,73,3,0,2.51,148.0,
5,072,1333,78,3,15,4.11,247.2,fuel stop
6,118,1380,53,3,15,5.29,315.0,tunnel +2000pts
7,117,1380,17,3,0,5.62,331.2,
8,042,999,25,3,0,6.10,355.2,
9,106,982,83,3,0,7.53,465.7,
10,043,1304,40,3,15,8.50,504.2,fuel stop
11,091,1450,87,3,0,9.99,609.3,
12,113,867,23,3,0,10.43,629.5,
13,Finish,0,62,0,0,11.47,717.9,FINISH
