Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start E,0,0,0,0,0.00,0,START
2,016,572,17,3,0,0.34,18.6,
3,088,799,30,3,0,0.88,49.5,
4,058,1100,73,3,0,2.14,126.9,
5,027,631,70,3,0,3.35,212.3,
6,072,1333,15,3,0,3.65,230.9,
7,118,1380,53,3,15,4.83,298.7,fuel stop
8,117,1380,17,3,0,5.16,314.9,
9,077,501,10,3,0,5.38,326.3,
10,042,999,26,3,0,5.87,350.9,
11,099,888,49,3,0,6.74,397.0,
12,029,898,33,3,0,7.34,437.5,
13,116,767,24,3,0,7.78,461.0,
14,091,1450,75,3,15,9.34,547.2,fuel stop
15,114,503,21,3,0,9.74,567.4,
16,075,477,24,3,0,10.19,595.5,
17,050,800,50,3,0,11.07,668.7,
18,Finish,0,25,0,0,11.48,699.2,FINISH
