Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start C,0,0,0,0,0.00,0,START
2,036,806,20,3,0,0.38,24.6,
3,002,451,35,3,0,1.01,57.2,
4,110,832,14,3,0,1.29,70.0,
5,113,867,39,3,0,2.00,108.6,
6,091,1450,23,3,0,2.43,128.8,
7,021,814,38,3,0,3.12,162.5,
8,075,477,29,3,0,3.65,189.0,
9,116,767,55,3,15,4.87,240.4,fuel stop
10,118,1380,82,3,15,6.53,344.5,tunnel +2000pts
11,117,1380,17,3,0,6.86,360.7,
12,077,501,10,3,0,7.09,372.1,
13,029,898,49,3,0,7.96,432.2,
14,097,1018,38,3,0,8.64,474.1,
15,114,503,83,3,15,10.32,561.3,fuel stop
16,050,800,40,3,0,11.03,620.4,
17,Finish,0,25,0,0,11.45,650.9,FINISH
