Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start C,0,0,0,0,0.00,0,START
2,036,806,20,3,0,0.38,24.6,
3,110,832,34,3,0,1.00,58.4,
4,113,867,39,3,0,1.71,97.1,
5,091,1450,23,3,0,2.14,117.2,
6,043,1304,85,3,0,3.61,224.0,
7,106,982,41,3,15,4.60,262.3,fuel stop
8,029,898,31,3,0,5.17,307.1,
9,117,1380,60,3,0,6.22,384.8,
10,077,501,10,3,0,6.44,396.3,
11,042,999,26,3,0,6.93,420.8,
12,118,1380,41,3,15,7.91,460.2,tunnel +2000pts
13,116,767,79,3,15,9.52,567.0,fuel stop
14,075,477,54,3,0,10.47,618.4,
15,Finish,0,62,0,0,11.50,714.4,FINISH
