Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start C,0,0,0,0,0.00,0,START
2,036,806,20,3,0,0.38,24.6,
3,012,386,45,3,0,1.18,97.6,
4,043,1304,48,3,0,2.04,144.6,
5,011,300,55,3,0,3.00,197.2,
6,029,898,22,3,0,3.42,221.6,
7,099,888,33,3,15,4.26,262.1,fuel stop
8,117,1380,45,3,0,5.07,303.1,
9,118,1380,17,3,15,5.65,319.2,tunnel +2000pts
10,042,999,41,3,0,6.39,358.7,
11,077,501,26,3,0,6.88,383.3,
12,106,982,69,3,0,8.07,478.6,
13,091,1450,82,3,15,9.74,599.3,fuel stop
14,113,867,23,3,0,10.18,619.5,
15,050,800,50,3,0,11.07,685.1,
16,Finish,0,25,0,0,11.48,715.6,FINISH
