Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,058,1100,63,3,0,1.10,70.1,
3,111,901,62,3,0,2.18,135.3,
4,027,631,45,3,0,2.98,187.2,
5,104,272,5,3,0,3.11,190.7,
6,072,1333,18,3,0,3.47,204.6,
7,118,1380,53,3,15,4.64,272.3,fuel stop
8,117,1380,17,3,0,4.98,288.6,
9,017,465,22,3,0,5.39,310.3,
10,028,999,15,3,0,5.69,322.2,
11,077,501,43,3,0,6.45,366.2,
12,099,888,35,3,0,7.08,397.2,
13,029,898,33,3,0,7.68,437.8,
14,116,767,24,3,0,8.12,461.3,
15,091,1450,75,3,15,9.68,547.5,fuel stop
16,113,867,23,3,0,10.12,567.7,
17,050,800,50,3,0,11.00,633.2,
18,Finish,0,25,0,0,11.42,663.8,FINISH
