Step,Location,Points,Drive (min),Photo (min),Extra (min),Cumulative Time (h),Cumulative Dist (km),Notes
1,Start A,0,0,0,0,0.00,0,START
2,058,1100,63,3,0,1.10,70.1,
3,072,1333,78,3,0,2.45,169.3,
4,118,1380,53,3,0,3.38,237.1,
5,117,1380,17,3,15,3.96,253.3,fuel stop
6,042,999,25,3,0,4.43,277.3,
7,077,501,26,3,0,4.92,301.8,
8,099,888,35,3,0,5.56,332.8,
9,029,898,33,3,0,6.15,373.4,
10,106,982,32,3,0,6.73,418.6,
11,043,1304,40,3,0,7.46,457.1,
12,012,386,49,3,15,8.57,503.6,fuel stop
13,113,867,48,3,0,9.41,562.9,
14,091,1450,23,3,0,9.85,583.1,
15,114,503,21,3,0,10.25,603.2,
16,050,800,40,3,0,10.96,662.3,
17,Finish,0,25,0,0,11.37,692.8,FINISH
